 

Application Id,Country,Settled Downloads,Developer Revenue, Currency
"PodSnatcher (1.0.0)","United Kingdom",6,3.05,EUR
"PodSnatcher (1.0.0)","Ireland",1,0.51,EUR
"PodSnatcher (1.0.0)","Germany",2,1.15,EUR
"PodSnatcher (1.0.0)","Canada",1,0.68,USD
"PodSnatcher (1.0.0)","United States",33,22.87,USD
