 

Application Id,Country,Settled Downloads,Developer Revenue, Currency
"PodSnatcher (1.0.2)","United Kingdom",2,1.06,EUR
"PodSnatcher (1.0.2)","Germany",4,2.30,EUR
"PodSnatcher (1.0.2)","United States",57,39.50,USD
"PodSnatcher (1.1.1)","United States",85,58.91,USD
"PodSnatcher (1.1.1)","Canada",2,1.31,USD
"PodSnatcher (1.1.1)","Germany",3,2.08,EUR
"PodSnatcher (1.1.1)","France",1,0.69,EUR
"PodSnatcher (1.1.1)","United Kingdom",4,3.22,EUR
"PodSnatcher (1.1.1)","United States",64,44.35,USD
"PodSnatcher (1.1.2)","Canada",1,0.65,USD
"PodSnatcher (1.1.2)","France",1,0.69,EUR
"PodSnatcher (1.1.2)","United Kingdom",3,2.42,EUR
